ID,status,max_sigma,line,dv_kms
39628055584442937,ok,2.0532108581456683,AlII1670,490.7312807767177
39628468111017219,ok,3.4253619609236616,AlII1670,445.4441247917293
39628499455049903,ok,3.0781731538192982,AlII1670,-350.7779308742259
39628311462151649,ok,3.0810868039235437,AlII1670,-397.42026952416586
39632964925001822,ok,2.3492556219995113,CII1334,-283.7031239318052
39633190826019285,ok,2.303464105363478,AlII1670,189.28813991974488
39628029219048108,ok,3.3798478862185473,OI1302,443.4660185544584
39632951666806481,ok,1.7222773897011021,AlII1670,220.77953848780285
39628353837207447,ok,2.633976360714991,SiII1526,-215.2860317150799
39633287068516556,ok,2.448511359310948,SiII1526,-294.84563884460965
39627544298786261,ok,1.8478869546436694,SiII1526,-53.686346742091494
39627875648802065,ok,1.9947242048604013,SiII1526,55.97877891961463
39628019890914673,ok,2.8188166534015466,AlII1670,154.05436679526736
39628061435498050,ok,1.8472212885272277,AlII1670,-352.8209869318818
39628025532256101,ok,1.8989285336891568,SiII1526,-86.7203462093452
39627928991962339,ok,1.9201519812192702,OI1302,-441.24164983185
39628055039184537,ok,1.108072290035765,CII1334,-495.8322805516985
39628066921647023,ok,3.643974855262674,SiII1526,-49.93684442477264
39628108478811333,ok,3.591276876011288,AlII1670,437.4776725309141
39628190045439524,ok,3.4508555195563857,AlII1670,312.94602665619226
39628309717322250,ok,2.7459700860044105,AlII1670,495.18032946530013
39628488721828448,ok,3.432880887345774,SiII1526,477.5407136580747
39627865427280023,ok,3.317043949508552,CII1334,6.815192447549597
39627595309908260,ok,3.104672195669306,AlII1670,-228.38848215074765
39627914995566750,ok,2.664242733868548,AlII1670,-462.0801468853094
39627673214913842,ok,2.582270779896772,AlII1670,-490.0801229872938
39627715044705448,ok,2.719945380531721,CII1334,477.88055958826766
39627896179918338,ok,1.867425518262735,SiII1526,-162.89601153344006
39627762889133674,ok,2.889100612003451,SiII1526,-276.2217465066772
39627829331105031,ok,3.417650314529087,SiII1526,373.3407884382078
39627932607450554,ok,2.116143598911253,AlII1670,59.74305186150951
39627789938203693,ok,2.973853516526932,CII1334,-208.6201047654465
39627873329353669,ok,2.477196818418605,OI1302,-440.6373082954694
39628029600728208,ok,2.1359619647193435,AlII1670,-120.73215088106049
39628199998531008,ok,2.2444032448213154,SiII1526,-175.3494088016822
39627568680275261,ok,2.9856534675139326,AlII1670,87.71736939098936
39627660296454227,ok,2.5779501854805047,OI1302,-4.8748599781936015
39627630147799297,ok,1.9962906562053016,SiII1526,-84.89034051287418
