ID,ra,dec,zCNN,NHI_best,Flux,SNR,Plate,MJD,Fiber,stage,note
514623228.0,163.9223889,56.7407535,2.58661048,20.332439,21.686,16.554,8178,57428,700,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<106 mA"
531686697.0,154.3578806,61.2743039,2.76777023,20.651126,17.718,18.761,7081,56684,26,known_metallicity,[M/H]=-2.17 (Rafelski2012_new)
438888113.0,239.5604659,40.8936122,2.55291114,20.320415,16.103,13.916,6052,56092,536,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<126 mA"
400352403.0,189.6705603,34.6176091,2.47043829,20.76431,11.823,11.211,3971,55322,534,known_metallicity,[M/H]=-2.04 (Rafelski2012_new)
356960035.0,163.9339965,28.506478,2.45767607,20.615434,10.99,8.234,10478,58171,468,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<188 mA"
386711526.0,337.7266526,32.5355234,2.78864871,20.590848,10.303,13.226,7710,58284,838,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<74 mA"
357580815.0,115.4718571,28.4844641,2.43782924,20.407078,8.965,7.35,10286,58084,614,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<171 mA"
167657155.0,331.3981148,6.2688285,2.5390295,20.619804,8.936,15.286,11337,58431,989,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<115 mA"
377573229.0,139.1867702,31.0422585,2.4204583,20.64526,8.767,7.718,10443,58155,261,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<145 mA"
409006152.0,139.2632448,36.0561531,2.3326084,20.466276,8.767,7.226,10243,58159,757,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<180 mA"
387016843.0,239.5360463,32.4644623,2.46325387,20.825844,8.703,7.297,10921,58251,414,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<185 mA"
357433147.0,155.4868714,28.4599597,2.62814253,20.572638,7.637,10.112,10458,58143,522,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<143 mA"
415765342.0,157.9839983,37.1515434,2.79738192,20.741112,7.227,10.261,8853,57459,735,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<173 mA"
337474503.0,352.7698106,26.1127686,3.14747982,20.462636,7.208,15.94,7701,57356,153,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<94 mA"
286256548.0,199.5400899,19.8460474,3.35897424,20.472254,6.549,13.03,5864,56047,52,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<112 mA"
526796762.0,196.5536173,59.8861592,2.36267055,20.332755,6.494,6.329,6967,56447,244,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<187 mA"
219792523.0,223.57743,12.1816319,2.4688401,20.477941,6.018,12.014,5478,56014,374,known_metallicity,[M/H]=-2.08 (Rafelski2012_lit)
488235138.0,123.6466458,50.4962126,3.70743466,21.039137,6.0,18.064,3689,55180,254,known_metallicity,[M/H]=-2.08 (Rafelski2012_lit)
77863991.0,21.7528777,-0.76644,3.72807439,20.908437,5.744,13.176,4229,55501,337,known_metallicity,[M/H]=-2.42 (Rafelski2012_lit)
146393570.0,23.4179864,4.0166034,3.69228412,20.655638,5.729,6.813,4274,55508,475,known_metallicity,[M/H]=-2.39 (Rafelski2012_lit)
220877041.0,136.2151916,12.3399572,3.11987842,20.51345,5.264,10.292,5298,55979,368,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<192 mA"
398814479.0,190.5020552,34.2484348,2.93626415,20.394502,4.708,8.918,3971,55322,346,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<180 mA"
512962328.0,140.7341786,56.3137032,3.94406545,20.629149,4.342,6.302,5725,56625,796,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<156 mA"
191300069.0,153.4677615,8.8822489,2.30890547,20.670287,3.914,3.651,5334,55928,810,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<196 mA"
380240248.0,126.0067902,31.5204589,2.83428367,20.558379,3.673,7.629,4446,55589,187,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<190 mA"
144875103.0,347.7277173,3.8153097,2.61313545,20.805231,3.524,5.519,11296,58425,690,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<176 mA"
145966598.0,325.377169,3.8962293,3.60028036,20.380312,3.492,9.137,4083,55443,964,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<153 mA"
374356741.0,228.6922861,30.7116319,2.45688079,20.376644,3.18,4.376,3871,55307,796,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<200 mA"
83291431.0,162.1558438,-0.4704582,3.88747251,20.755004,3.143,7.719,3786,55563,864,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<143 mA"
212390691.0,141.1178026,11.2103665,3.44820054,20.629578,3.03,6.765,5306,55926,928,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<189 mA"
215894597.0,30.0032612,11.6396155,2.38753969,20.434337,2.854,5.373,4656,55828,112,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<166 mA"
472541407.0,222.3191478,46.8981615,3.04468117,20.533911,2.688,6.292,8489,57483,603,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<163 mA"
431071093.0,228.5278136,39.6812805,3.26367704,20.469977,2.565,6.77,11649,58514,112,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<171 mA"
457400542.0,242.8315508,44.1955631,3.98177815,20.554566,1.884,5.794,6034,56103,198,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<182 mA"
460325304.0,116.9572689,44.5714052,4.02093078,20.876328,1.619,5.063,3676,55186,596,known_metallicity,[M/H]=-2.28 (Rafelski2012_new)
94135026.0,38.1308437,-0.0030039,3.60770112,20.498255,1.553,5.848,3615,55445,80,ew_screen,"0/4 lines detected (matched-filter), 3sigma UL<182 mA"
438508218.0,127.8440716,40.7731659,4.33807044,20.883055,1.529,5.958,3808,55513,180,known_metallicity,[M/H]=-2.36 (Rafelski2012_new)
407352752.0,162.8459894,35.7595305,4.82082325,20.424814,1.343,3.512,4635,55615,997,known_metallicity,[M/H]=-2.28 (Rafelski2012_new)
387205842.0,180.5324218,32.59411,4.79941739,20.625817,0.969,3.757,4611,55603,476,known_metallicity,[M/H]=-2.36 (Rafelski2012_new)
